Current,Forcast,Real
[126.81999969482422],[122.018524],[128.55000305175778]
[128.55000305175778],[120.3258],[126.27999877929688]
[126.27999877929688],[118.77195],[123.52999877929688]
[123.52999877929688],[117.05903],[124.66000366210938]
[124.66000366210938],[115.79905],[122.19000244140624]
[122.19000244140624],[114.66914],[118.54000091552734]
[118.54000091552734],[113.735405],[117.30999755859376]
[117.30999755859376],[112.94653],[113.77999877929688]
[113.77999877929688],[112.325516],[115.1500015258789]
[115.1500015258789],[112.05463],[114.41000366210938]
[114.41000366210938],[111.83782],[118.01000213623048]
[118.01000213623048],[111.76929],[114.8000030517578]
[114.8000030517578],[111.73952],[113.0]
[113.0],[111.82697],[115.87999725341795]
[115.87999725341795],[111.76308],[121.08999633789062]
[121.08999633789062],[111.57331],[120.9499969482422]
[120.9499969482422],[111.31992],[120.3000030517578]
[120.3000030517578],[111.15564],[114.55999755859376]
[114.55999755859376],[111.0845],[113.66999816894531]
[113.66999816894531],[110.99288],[112.20999908447266]
[112.20999908447266],[110.729996],[112.9000015258789]
[112.9000015258789],[110.53743],[112.52999877929688]
[112.52999877929688],[110.27305],[106.9000015258789]
[106.9000015258789],[110.0673],[113.79000091552734]
[113.79000091552734],[110.13891],[116.36000061035156]
[116.36000061035156],[110.314995],[115.06999969482422]
[115.06999969482422],[110.380196],[115.25]
[115.25],[110.29136],[119.31999969482422]
[119.31999969482422],[109.957466],[119.81999969482422]
[119.81999969482422],[109.38943],[120.5999984741211]
[120.5999984741211],[108.44734],[115.66000366210938]
[115.66000366210938],[107.09414],[110.95999908447266]
[110.95999908447266],[105.31798],[103.41000366210938]
[103.41000366210938],[103.11134],[102.44000244140624]
[102.44000244140624],[100.94289],[96.79000091552734]
[96.79000091552734],[98.7491],[92.12000274658205]
[92.12000274658205],[96.67849],[89.30000305175781]
[89.30000305175781],[94.86505],[90.9800033569336]
[90.9800033569336],[93.422134],[90.52999877929688]
[90.52999877929688],[92.02543],[89.9800033569336]
[89.9800033569336],[91.1134],[86.13999938964844]
[86.13999938964844],[90.507996],[96.62999725341795]
[96.62999725341795],[90.23909],[100.79000091552734]
[100.79000091552734],[90.401146],[98.48999786376952]
[98.48999786376952],[90.487625],[98.94000244140624]
[98.94000244140624],[90.72876],[97.12000274658205]
[97.12000274658205],[90.83107],[94.8499984741211]
[94.8499984741211],[91.0233],[94.13999938964844]
[94.13999938964844],[91.314735],[92.45999908447266]
[92.45999908447266],[91.11946],[93.1999969482422]
[93.1999969482422],[90.745926],[94.12999725341795]
[94.12999725341795],[90.3444],[93.41000366210938]
[93.41000366210938],[90.03363],[93.9499969482422]
[93.9499969482422],[89.56396],[92.41999816894531]
[92.41999816894531],[89.18273],[96.54000091552734]
[96.54000091552734],[88.88484],[95.5]
[95.5],[88.7296],[94.12999725341795]
[94.12999725341795],[88.71716],[91.01000213623048]
[91.01000213623048],[88.486145],[88.25]
[88.25],[88.22031],[88.45999908447266]
[88.45999908447266],[87.89118],[90.3499984741211]
[90.3499984741211],[87.57106],[89.08999633789062]
[89.08999633789062],[87.36544],[90.5500030517578]
[90.5500030517578],[86.68381],[92.48999786376952]
[92.48999786376952],[86.1951],[91.58000183105469]
[91.58000183105469],[85.864586],[88.44999694824219]
[88.44999694824219],[85.602806],[87.86000061035156]
[87.86000061035156],[85.380844],[84.91999816894531]
[84.91999816894531],[84.60101],[85.19000244140625]
[85.19000244140625],[83.976],[86.7699966430664]
[86.7699966430664],[83.56515],[83.79000091552734]
[83.79000091552734],[83.30754],[85.25]
[85.25],[83.29345],[83.04000091552734]
[83.04000091552734],[83.07891],[81.81999969482422]
[81.81999969482422],[83.11665],[84.18000030517578]
[84.18000030517578],[83.412796],[84.0]
[84.0],[83.90522],[85.81999969482422]
[85.81999969482422],[84.39168],[85.13999938964844]
[85.13999938964844],[85.22265],[83.12000274658203]
[83.12000274658203],[86.3784],[86.08000183105469]
[86.08000183105469],[87.71162],[87.36000061035156]
[87.36000061035156],[89.01676],[89.87000274658203]
[89.87000274658203],[90.16662],[95.08999633789062]
[95.08999633789062],[91.213455],[95.2699966430664]
[95.2699966430664],[92.20989],[98.12000274658205]
[98.12000274658205],[93.18387],[96.0500030517578]
[96.0500030517578],[94.301094],[95.45999908447266]
[95.45999908447266],[95.16912],[93.68000030517578]
[93.68000030517578],[95.80588],[97.25]
[97.25],[96.3445],[97.5199966430664]
[97.5199966430664],[96.77534],[96.31999969482422]
[96.31999969482422],[96.84137],[97.18000030517578]
[97.18000030517578],[96.49008],[99.22000122070312]
[99.22000122070312],[96.07006],[102.23999786376952]
[102.23999786376952],[95.783424],[100.5500030517578]
[100.5500030517578],[95.52099],[103.12999725341795]
[103.12999725341795],[95.02],[105.1500015258789]
[105.1500015258789],[94.29586],[112.91000366210938]
[112.91000366210938],[93.37236],[103.38999938964844]
[112.91000366210938],[92.12118],[103.38999938964844]
