Date,Close,DayNumber,Month_Number,Year,FFT_Mag_Close_900,FFT_Angl_Close_900
2001-01-02,27.20000076293945,1,100,2001,44.26423371812493,-8.801235765271595e-05
2001-01-03,27.95000076293945,2,100,2001,30.755208279293573,0.0005661846765064358
2001-01-04,28.20000076293945,3,100,2001,23.831385964330597,0.0009319548439158511
2001-01-05,28.0,4,100,2001,23.640226938412546,0.00025150520818403334
2001-01-08,27.35000038146973,0,100,2001,27.122947913044957,-0.0005883041561612969
2001-01-09,27.71999931335449,1,100,2001,30.37166598210489,-0.0007483183785868781
2001-01-10,29.5,2,100,2001,31.158133221914408,-0.00025505119776337345
2001-01-11,29.5,3,100,2001,29.876633323277154,0.00048096554918469764
2001-01-12,30.04999923706055,4,100,2001,28.491720391481046,0.0008093560791776572
2001-01-16,30.35000038146973,1,100,2001,28.593350067647968,0.0003456499860485287
2001-01-17,29.649999618530273,2,100,2001,30.162082815528112,-0.00041990981291452616
2001-01-18,30.45000076293945,3,100,2001,31.858218741347773,-0.0007283481024125698
2001-01-19,32.09999847412109,4,100,2001,32.33748033747884,-0.00036301344430438303
2001-01-22,32.0,0,100,2001,31.361647642020216,0.0003462073290771394
2001-01-23,29.56999969482422,1,100,2001,29.829554557137985,0.0007763535339410671
2001-01-24,29.04999923706055,2,100,2001,28.871250987930406,0.00046754851147040984
2001-01-25,29.36000061035156,3,100,2001,28.903979030454753,-0.000310034451886333
2001-01-26,29.78000068664551,4,100,2001,29.448617441886267,-0.0007784249736347734
2001-01-29,29.059999465942386,0,100,2001,29.74349338133632,-0.0005092955437207251
2001-01-30,29.059999465942386,1,100,2001,29.499875400035922,0.00023700556415558793
2001-01-31,28.70000076293945,2,100,2001,29.108063745200365,0.0007730355524063482
2001-02-01,29.79999923706055,3,200,2001,29.178705303426064,0.0005714448991439325
2001-02-02,31.25,4,200,2001,29.91521884732232,-0.00016596686567888773
2001-02-05,30.5,0,200,2001,30.913845454739104,-0.0007082849976438303
2001-02-06,30.35000038146973,1,200,2001,31.53993632117641,-0.0005727224347553176
2001-02-07,31.20000076293945,2,200,2001,31.487992345023812,9.202504901016988e-05
2001-02-08,31.559999465942386,3,200,2001,30.99774026607146,0.0006810568008678317
2001-02-09,31.04999923706055,4,200,2001,30.55902058078116,0.0006317512585787651
2001-02-12,30.54999923706055,0,200,2001,30.424603797076237,-2.651688986734046e-05
2001-02-13,30.34000015258789,1,200,2001,30.40463274043823,-0.0006628661808387824
2001-02-14,29.75,2,200,2001,30.11850703161887,-0.0006769953467797851
2001-02-15,28.79999923706055,3,200,2001,29.433656953320106,-4.385257461238458e-05
2001-02-16,29.15999984741211,4,200,2001,28.650778599040034,0.0006642951208278418
2001-02-20,28.57999992370605,1,200,2001,28.249880453258097,0.0007542665787532353
2001-02-21,28.54999923706055,2,200,2001,28.436824472287103,0.00011877932769876706
2001-02-22,28.81999969482422,3,200,2001,28.922359008419424,-0.0006139019120437643
2001-02-23,29.0,4,200,2001,29.151129600020756,-0.00075646321461961
2001-02-26,28.440000534057607,0,200,2001,28.78281278181729,-0.00018890038498314233
2001-02-27,28.1200008392334,1,200,2001,27.995917299034605,0.0005834204605282981
2001-02-28,27.420000076293945,2,200,2001,27.344630407299977,0.0008270532070453234
2001-03-01,27.649999618530273,3,300,2001,27.29695055322018,0.00027299950755513893
2001-03-02,27.84000015258789,4,300,2001,27.855840696374216,-0.000530513007911611
2001-03-05,28.60000038146973,0,300,2001,28.57779748733203,-0.000804626626577449
2001-03-06,28.29999923706055,1,300,2001,28.948428142019278,-0.0003249281202344683
2001-03-07,28.95000076293945,2,300,2001,28.77584298973316,0.0004553013752685084
2001-03-08,28.489999771118164,3,300,2001,28.27637993444927,0.0008199649363917615
2001-03-09,27.79999923706055,4,300,2001,27.818895813501378,0.0004056033372636581
2001-03-12,28.0,0,300,2001,27.587685137761728,-0.00041027243642873315
2001-03-13,27.45000076293945,1,300,2001,27.464708871948556,-0.0008442635442355528
2001-03-14,26.45000076293945,2,300,2001,27.206881439467335,-0.0004803401350776953
2001-03-15,26.649999618530273,3,300,2001,26.724927502546553,0.00035333334559229924
2001-03-16,26.70000076293945,4,300,2001,26.198333554462167,0.0008779138214874373
