Current,Forcast,Real,Dates
[-1.4930670227110028],[-2.0989783],[-1.7880338204883373],2022-09-20 00:00:00
[-1.7880338204883373],[-2.2720296],[0.663124434740439],2022-09-21 00:00:00
[0.663124434740439],[-2.3247702],[-5.689304253846742],2022-09-22 00:00:00
[-5.689304253846742],[-2.1741264],[-2.5781036758586566],2022-09-23 00:00:00
[-2.5781036758586566],[-1.9128598],[2.333464915774812],2022-09-26 00:00:00
[2.333464915774812],[-2.2677898],[4.6496834724572125],2022-09-27 00:00:00
[4.6496834724572125],[-2.4607494],[-1.1199003674461208],2022-09-28 00:00:00
[-1.1199003674461208],[-2.4716456],[-2.142072413216937],2022-09-29 00:00:00
[-2.142072413216937],[-2.2778668],[5.2082016617280535],2022-09-30 00:00:00
[5.2082016617280535],[-1.9333007],[3.4556970997991097],2022-10-03 00:00:00
[3.4556970997991097],[-2.2085154],[1.4332010416963357],2022-10-04 00:00:00
[1.4332010416963357],[-2.3377762],[0.7862292561714384],2022-10-05 00:00:00
[0.7862292561714384],[-2.328969],[4.737142550562312],2022-10-06 00:00:00
[4.737142550562312],[-2.1378324],[-1.629967774372858],2022-10-07 00:00:00
[-1.629967774372858],[-1.8124578],[-1.9532523131181136],2022-10-10 00:00:00
[-1.9532523131181136],[-2.0797665],[-2.3279259838567583],2022-10-11 00:00:00
[-2.3279259838567583],[-2.2342815],[2.108403847900618],2022-10-12 00:00:00
[2.108403847900618],[-2.2727258],[-3.927729745289013],2022-10-13 00:00:00
[-3.927729745289013],[-2.1080723],[-0.175214957142245],2022-10-14 00:00:00
[-0.175214957142245],[-1.7978338],[-3.089163840311926],2022-10-17 00:00:00
[-3.089163840311926],[-2.0899255],[3.2963093057149564],2022-10-18 00:00:00
[3.2963093057149564],[-2.2621982],[0.5026303797039446],2022-10-19 00:00:00
[0.5026303797039446],[-2.2725825],[-1.081647207333802],2022-10-20 00:00:00
[-1.081647207333802],[-2.0658798],[-0.5526175236197304],2022-10-21 00:00:00
[-0.5526175236197304],[-1.7276015],[0.8749087819218175],2022-10-24 00:00:00
[0.8749087819218175],[-2.0140402],[3.0356352280229544],2022-10-25 00:00:00
[3.0356352280229544],[-2.1786938],[1.3309044707156517],2022-10-26 00:00:00
[1.3309044707156517],[-2.1562047],[-1.3246523135616002],2022-10-27 00:00:00
[-1.3246523135616002],[-1.9646175],[-1.5585924036402758],2022-10-28 00:00:00
[-1.5585924036402758],[-1.6732017],[2.12643475470081],2022-10-31 00:00:00
[2.12643475470081],[-1.9875367],[1.8445142047718408],2022-11-01 00:00:00
[1.8445142047718408],[-2.1381397],[-2.0333353678385464],2022-11-02 00:00:00
[-2.0333353678385464],[-2.1420927],[5.03572931111853],2022-11-03 00:00:00
[5.03572931111853],[-1.9783608],[-0.8854332031313703],2022-11-04 00:00:00
[-0.8854332031313703],[-1.5842695],[-3.1375936645521705],2022-11-07 00:00:00
[-3.1375936645521705],[-1.8704829],[-3.4641791746627604],2022-11-08 00:00:00
