Current,Forcast,Real
[-1.4930670227110028],[3.41578],[-1.7880338204883373]
[-1.7880338204883373],[3.3180406],[0.663124434740439]
[0.663124434740439],[3.0810862],[-5.689304253846742]
[-5.689304253846742],[2.7542572],[-2.5781036758586566]
[-2.5781036758586566],[2.9703817],[2.333464915774812]
[2.333464915774812],[3.1006052],[4.6496834724572125]
[4.6496834724572125],[3.0463078],[-1.1199003674461208]
[-1.1199003674461208],[2.8170545],[-2.142072413216937]
[-2.142072413216937],[2.510728],[5.2082016617280535]
[5.2082016617280535],[2.7597258],[3.4556970997991097]
[3.4556970997991097],[2.9174361],[1.4332010416963357]
[1.4332010416963357],[2.8926122],[0.7862292561714384]
[0.7862292561714384],[2.6821609],[4.737142550562312]
[4.737142550562312],[2.4226356],[-1.629967774372858]
[-1.629967774372858],[2.7395718],[-1.9532523131181136]
[-1.9532523131181136],[2.9246047],[-2.3279259838567583]
[-2.3279259838567583],[2.8611314],[2.108403847900618]
[2.108403847900618],[2.6157794],[-3.927729745289013]
[-3.927729745289013],[2.3022022],[-0.175214957142245]
[-0.175214957142245],[2.5211532],[-3.089163840311926]
[-3.089163840311926],[2.607054],[3.2963093057149564]
[3.2963093057149564],[2.4675112],[0.5026303797039446]
[0.5026303797039446],[2.229205],[-1.081647207333802]
[-1.081647207333802],[1.9637806],[-0.5526175236197304]
[-0.5526175236197304],[2.2453241],[0.8749087819218175]
[0.8749087819218175],[2.3941453],[3.0356352280229544]
[3.0356352280229544],[2.372373],[1.3309044707156517]
[1.3309044707156517],[2.1800895],[-1.3246523135616002]
[-1.3246523135616002],[1.8450679],[-1.5585924036402758]
[-1.5585924036402758],[2.0514019],[2.12643475470081]
[2.12643475470081],[2.2075965],[1.8445142047718408]
[1.8445142047718408],[2.1473799],[-2.0333353678385464]
[-2.0333353678385464],[1.8749508],[5.03572931111853]
[5.03572931111853],[1.6291276],[-0.8854332031313703]
[-0.8854332031313703],[1.9332422],[-3.1375936645521705]
[-3.1375936645521705],[2.1005993],[-3.4641791746627604]
[-3.4641791746627604],[2.053737],[0.7456592986077197]
[0.7456592986077197],[1.852769],[2.879608914789003]
[2.879608914789003],[1.6202385],[-3.473467142188808]
[-3.473467142188808],[1.8816689],[1.2227732488398857]
[1.2227732488398857],[2.003843],[-1.5301447987488217]
[-1.5301447987488217],[1.9098109],[-4.6150217516641305]
[-4.6150217516641305],[1.6098337],[-1.9108250493097785]
[-1.9108250493097785],[1.228339],[-0.4370610216262065]
[-0.4370610216262065],[1.422261],[1.53015620210995]
[1.53015620210995],[1.5957627],[-3.718338011501672]
[-3.718338011501672],[1.569505],[-2.1298481012459973]
[-2.1298481012459973],[1.2359172],[1.258520057466498]
[1.258520057466498],[1.3386542],[1.2428781862032563]
[1.2428781862032563],[1.4426404],[3.0051230117963]
[3.0051230117963],[1.3969045],[0.8317791974691886]
[0.8317791974691886],[1.1896693],[-1.5267149041281414]
[-1.5267149041281414],[0.8848993],[-3.8134570189329793]
[-3.8134570189329793],[1.1344706],[-3.4836868510911363]
[-3.4836868510911363],[1.3023603],[-3.016832139756944]
[-3.016832139756944],[1.3022784],[-0.7637870232489377]
[-0.7637870232489377],[1.1808006],[-0.6157325035592578]
[-0.6157325035592578],[0.962546],[3.0273185405575584]
[3.0273185405575584],[1.2295269],[3.034032084539988]
[3.034032084539988],[1.3951225],[2.506962999004813]
[2.506962999004813],[1.3742106],[-1.5139728098168064]
[-1.5139728098168064],[1.1507332],[-2.3912753649047858]
[-2.3912753649047858],[0.83008987],[1.2114706081404734]
[1.2114706081404734],[1.0575613],[1.1969595255509091]
[1.1969595255509091],[1.2150667],[2.89131907414901]
[2.89131907414901],[1.2337052],[-1.0218457560384877]
[-1.0218457560384877],[1.0836756],[2.671312107226228]
[2.671312107226228],[0.8614476],[-0.037705857487964]
[-0.037705857487964],[1.1002455],[-0.7167103024935528]
[-0.7167103024935528],[1.255887],[-0.7092167744260678]
[-0.7092167744260678],[1.2809159],[2.3724497119271035]
[2.3724497119271035],[1.2516063],[-4.149017869950285]
[-4.149017869950285],[1.755173],[-5.316526648980116]
[-5.316526648980116],[2.2659492],[1.1394863712025372]
[1.1394863712025372],[2.4502654],[0.1357383963710248]
[0.1357383963710248],[2.2778902],[1.1657864301019885]
[1.1657864301019885],[2.4674087],[0.6565798086527792]
[0.6565798086527792],[2.3883488],[3.04845691134048]
[3.04845691134048],[2.1312401],[1.2659807275254735]
[1.2659807275254735],[1.7702681],[1.8752407604907404]
[1.8752407604907404],[1.3926648],[-1.2647159134876769]
[-1.2647159134876769],[1.6433011],[1.686749342793206]
[1.686749342793206],[1.779444],[-0.87303186028673]
[-0.87303186028673],[1.7263346],[1.069449469326102]
[1.069449469326102],[1.4473717],[1.2199622870669629]
[1.2199622870669629],[1.1166924],[0.3812633099206408]
[0.3812633099206408],[1.4609717],[-1.8255396263466253]
[-1.8255396263466253],[1.6669986],[0.0249647736760465]
[0.0249647736760465],[1.6621444],[1.072988888308231]
[1.072988888308231],[1.5037583],[-1.641774837652875]
[-1.641774837652875],[1.2681147],[-2.2339342024089457]
[-2.2339342024089457],[1.6302133],[1.2451876786945633]
[1.2451876786945633],[1.8293787],[-3.1190554061179654]
[-3.1190554061179654],[1.8138535],[-0.6936348426773122]
[-0.6936348426773122],[1.6121687],[-3.281494404188805]
[-3.281494404188805],[1.3751527],[0.9810617613994452]
[0.9810617613994452],[1.7795669],[4.088515388399074]
[4.088515388399074],[2.086385],[1.7241403183536477]
[1.7241403183536477],[2.1914158],[-0.9430328179659708]
[1.7241403183536477],[2.048678],[-0.9430328179659708]
