Current,Forcast,Real,Dates
[109.7699966430664],[106.33282],[103.08999633789062],2022-05-06
[103.08999633789062],[106.109795],[99.76000213623048],2022-05-09
[99.76000213623048],[105.48621],[105.70999908447266],2022-05-10
[105.70999908447266],[105.81457],[106.12999725341795],2022-05-11
[106.12999725341795],[107.04888],[110.48999786376952],2022-05-12
[110.48999786376952],[108.78645],[114.1999969482422],2022-05-13
[114.1999969482422],[110.52047],[112.4000015258789],2022-05-16
[112.4000015258789],[111.549],[109.58999633789062],2022-05-17
[109.58999633789062],[111.761566],[112.20999908447266],2022-05-18
[112.20999908447266],[111.88141],[113.2300033569336],2022-05-19
[113.2300033569336],[112.28499],[110.29000091552734],2022-05-20
[110.29000091552734],[112.411064],[109.7699966430664],2022-05-23
[109.7699966430664],[112.32459],[110.33000183105469],2022-05-24
[110.33000183105469],[112.33001],[114.08999633789062],2022-05-25
[114.08999633789062],[112.79998],[115.06999969482422],2022-05-26
[115.06999969482422],[113.538055],[114.66999816894531],2022-05-27
[114.66999816894531],[114.26754],[115.26000213623048],2022-05-31
[115.26000213623048],[115.005104],[116.87000274658205],2022-06-01
[116.87000274658205],[116.252045],[118.87000274658205],2022-06-02
[118.87000274658205],[117.88395],[118.5],2022-06-03
[118.5],[119.62272],[119.41000366210938],2022-06-06
[119.41000366210938],[121.13879],[122.11000061035156],2022-06-07
[122.11000061035156],[122.58665],[121.51000213623048],2022-06-08
[121.51000213623048],[123.21004],[120.66999816894531],2022-06-09
[120.66999816894531],[122.93099],[120.93000030517578],2022-06-10
[120.93000030517578],[121.86247],[118.93000030517578],2022-06-13
[118.93000030517578],[119.949524],[115.30999755859376],2022-06-14
[115.30999755859376],[117.18723],[117.58999633789062],2022-06-15
[117.58999633789062],[114.63392],[109.55999755859376],2022-06-16
[109.55999755859376],[111.91665],[110.2699966430664],2022-06-17
[110.2699966430664],[109.82129],[110.6500015258789],2022-06-20
[110.6500015258789],[108.43395],[106.19000244140624],2022-06-21
[106.19000244140624],[107.74494],[104.2699966430664],2022-06-22
[104.2699966430664],[107.43843],[107.62000274658205],2022-06-23
[107.62000274658205],[108.0091],[109.56999969482422],2022-06-24
[109.56999969482422],[108.75094],[111.76000213623048],2022-06-27
[111.76000213623048],[109.39261],[109.77999877929688],2022-06-28
[109.77999877929688],[109.14967],[105.76000213623048],2022-06-29
[105.76000213623048],[107.762794],[108.43000030517578],2022-06-30
[108.43000030517578],[106.087],[99.5],2022-07-01
[99.5],[103.93705],[98.52999877929688],2022-07-05
[98.52999877929688],[101.61173],[102.7300033569336],2022-07-06
[102.7300033569336],[100.34593],[104.79000091552734],2022-07-07
[104.79000091552734],[100.00369],[104.08999633789062],2022-07-08
[104.08999633789062],[99.90507],[95.83999633789062],2022-07-11
[95.83999633789062],[98.70286],[96.3000030517578],2022-07-12
[96.3000030517578],[97.63451],[95.77999877929688],2022-07-13
[95.77999877929688],[97.246284],[97.58999633789062],2022-07-14
[97.58999633789062],[97.98244],[102.5999984741211],2022-07-15
[102.5999984741211],[99.30502],[104.22000122070312],2022-07-18
[104.22000122070312],[100.49908],[102.26000213623048],2022-07-19
[102.26000213623048],[100.54711],[96.3499984741211],2022-07-20
[96.3499984741211],[99.0381],[94.6999969482422],2022-07-21
[94.6999969482422],[97.06058],[96.6999969482422],2022-07-22
[96.6999969482422],[96.22625],[94.9800033569336],2022-07-25
[94.9800033569336],[95.79356],[97.26000213623048],2022-07-26
[97.26000213623048],[95.73583],[96.41999816894531],2022-07-27
[96.41999816894531],[95.33805],[98.62000274658205],2022-07-28
[98.62000274658205],[94.73939],[93.88999938964844],2022-07-29
[93.88999938964844],[93.41091],[94.41999816894531],2022-08-01
[94.41999816894531],[92.20001],[90.66000366210938],2022-08-02
[90.66000366210938],[91.19487],[88.54000091552734],2022-08-03
[88.54000091552734],[90.36422],[89.01000213623047],2022-08-04
[89.01000213623047],[90.05397],[90.76000213623048],2022-08-05
[90.76000213623048],[90.44869],[90.5],2022-08-08
[90.5],[90.67703],[91.93000030517578],2022-08-09
[91.93000030517578],[90.630356],[94.33999633789062],2022-08-10
[94.33999633789062],[90.28407],[92.08999633789062],2022-08-11
[92.08999633789062],[89.56061],[89.41000366210938],2022-08-12
[89.41000366210938],[88.73164],[86.52999877929688],2022-08-15
[86.52999877929688],[88.04011],[88.11000061035156],2022-08-16
[88.11000061035156],[88.13982],[90.5],2022-08-17
[90.5],[89.14591],[90.7699966430664],2022-08-18
[90.7699966430664],[90.43042],[90.2300033569336],2022-08-19
[90.2300033569336],[91.313065],[93.73999786376952],2022-08-22
[93.73999786376952],[92.255806],[94.88999938964844],2022-08-23
[94.88999938964844],[93.20072],[92.5199966430664],2022-08-24
[92.5199966430664],[93.37837],[93.05999755859376],2022-08-25
[93.05999755859376],[93.00353],[97.01000213623048],2022-08-26
[97.01000213623048],[92.835014],[91.63999938964844],2022-08-29
[91.63999938964844],[91.92481],[89.55000305175781],2022-08-30
[89.55000305175781],[90.06465],[86.61000061035156],2022-08-31
[86.61000061035156],[87.376015],[86.87000274658203],2022-09-01
[86.87000274658203],[85.3833],[86.87999725341797],2022-09-02
[86.87999725341797],[84.36373],[81.94000244140625],2022-09-06
[81.94000244140625],[83.48987],[83.54000091552734],2022-09-07
[83.54000091552734],[83.03396],[86.79000091552734],2022-09-08
[86.79000091552734],[83.50406],[87.77999877929688],2022-09-09
[87.77999877929688],[84.945496],[87.30999755859375],2022-09-12
[87.30999755859375],[86.23688],[88.4800033569336],2022-09-13
[88.4800033569336],[87.14895],[85.0999984741211],2022-09-14
[85.0999984741211],[86.80115],[85.11000061035156],2022-09-15
[85.11000061035156],[85.76809],[85.7300033569336],2022-09-16
[85.7300033569336],[84.94089],[84.44999694824219],2022-09-19
[84.44999694824219],[83.90071],[82.94000244140625],2022-09-20
[82.94000244140625],[82.14731],[83.48999786376953],2022-09-21
[83.48999786376953],[79.99482],[78.73999786376953],2022-09-22
[78.73999786376953],[77.62996],[76.70999908447266],2022-09-23
[76.70999908447266],[76.0189],[78.5],2022-09-26
[78.5],[75.677475],[82.1500015258789],2022-09-27
[82.1500015258789],[77.31467],[81.2300033569336],2022-09-28
