Current,Forcast,Real,Dates
[102.75],[98.7482],[103.79000091552734],2022-04-20
[103.79000091552734],[99.38997],[102.06999969482422],2022-04-21
[102.06999969482422],[98.07154],[98.54000091552734],2022-04-22
[98.54000091552734],[96.183235],[101.6999969482422],2022-04-25
[101.6999969482422],[96.89883],[102.0199966430664],2022-04-26
[102.0199966430664],[98.719345],[105.36000061035156],2022-04-27
[105.36000061035156],[99.20124],[104.69000244140624],2022-04-28
[104.69000244140624],[99.710884],[105.16999816894531],2022-04-29
[105.16999816894531],[99.92833],[102.41000366210938],2022-05-02
[102.41000366210938],[98.82521],[107.80999755859376],2022-05-03
[107.80999755859376],[101.2586],[108.26000213623048],2022-05-04
[108.26000213623048],[103.77382],[109.7699966430664],2022-05-05
[109.7699966430664],[102.509155],[103.08999633789062],2022-05-06
[103.08999633789062],[99.35335],[99.76000213623048],2022-05-09
[99.76000213623048],[98.826706],[105.70999908447266],2022-05-10
[105.70999908447266],[100.51278],[106.12999725341795],2022-05-11
[106.12999725341795],[101.27947],[110.48999786376952],2022-05-12
[110.48999786376952],[104.673004],[114.1999969482422],2022-05-13
[114.1999969482422],[106.46021],[112.4000015258789],2022-05-16
[112.4000015258789],[105.451805],[109.58999633789062],2022-05-17
[109.58999633789062],[105.62406],[112.20999908447266],2022-05-18
[112.20999908447266],[107.17322],[113.2300033569336],2022-05-19
[113.2300033569336],[107.38936],[110.29000091552734],2022-05-20
[110.29000091552734],[106.0191],[109.7699966430664],2022-05-23
[109.7699966430664],[105.59004],[110.33000183105469],2022-05-24
[110.33000183105469],[106.519066],[114.08999633789062],2022-05-25
[114.08999633789062],[108.39111],[115.06999969482422],2022-05-26
[115.06999969482422],[109.23005],[114.66999816894531],2022-05-27
[114.66999816894531],[109.10617],[115.26000213623048],2022-05-31
[115.26000213623048],[109.78897],[116.87000274658205],2022-06-01
[116.87000274658205],[111.72689],[118.87000274658205],2022-06-02
[118.87000274658205],[112.172165],[118.5],2022-06-03
[118.5],[112.41809],[119.41000366210938],2022-06-06
[119.41000366210938],[113.84007],[122.11000061035156],2022-06-07
[122.11000061035156],[115.02388],[121.51000213623048],2022-06-08
[121.51000213623048],[115.34372],[120.66999816894531],2022-06-09
[120.66999816894531],[115.98036],[120.93000030517578],2022-06-10
[120.93000030517578],[115.131874],[118.93000030517578],2022-06-13
[118.93000030517578],[114.18089],[115.30999755859376],2022-06-14
[115.30999755859376],[113.4148],[117.58999633789062],2022-06-15
[117.58999633789062],[112.232376],[109.55999755859376],2022-06-16
[109.55999755859376],[109.03162],[110.2699966430664],2022-06-17
[110.2699966430664],[108.22681],[110.6500015258789],2022-06-20
[110.6500015258789],[107.14361],[106.19000244140624],2022-06-21
[106.19000244140624],[104.65087],[104.2699966430664],2022-06-22
[104.2699966430664],[102.75692],[107.62000274658205],2022-06-23
[107.62000274658205],[104.49833],[109.56999969482422],2022-06-24
[109.56999969482422],[105.44987],[111.76000213623048],2022-06-27
[111.76000213623048],[105.6311],[109.77999877929688],2022-06-28
[109.77999877929688],[104.69315],[105.76000213623048],2022-06-29
[105.76000213623048],[104.219475],[108.43000030517578],2022-06-30
[108.43000030517578],[102.86207],[99.5],2022-07-01
[99.5],[98.881294],[98.52999877929688],2022-07-05
[98.52999877929688],[97.125824],[102.7300033569336],2022-07-06
[102.7300033569336],[99.42192],[104.79000091552734],2022-07-07
[104.79000091552734],[100.41626],[104.08999633789062],2022-07-08
[104.08999633789062],[98.308304],[95.83999633789062],2022-07-11
[95.83999633789062],[94.59337],[96.3000030517578],2022-07-12
[96.3000030517578],[93.842834],[95.77999877929688],2022-07-13
[95.77999877929688],[93.267075],[97.58999633789062],2022-07-14
[97.58999633789062],[93.94506],[102.5999984741211],2022-07-15
[102.5999984741211],[96.43852],[104.22000122070312],2022-07-18
[104.22000122070312],[98.19675],[102.26000213623048],2022-07-19
[102.26000213623048],[96.1355],[96.3499984741211],2022-07-20
[96.3499984741211],[93.2546],[94.6999969482422],2022-07-21
[94.6999969482422],[92.88373],[96.6999969482422],2022-07-22
[96.6999969482422],[92.36196],[94.9800033569336],2022-07-25
[94.9800033569336],[91.53705],[97.26000213623048],2022-07-26
[97.26000213623048],[92.43616],[96.41999816894531],2022-07-27
[96.41999816894531],[92.70519],[98.62000274658205],2022-07-28
[98.62000274658205],[92.520195],[93.88999938964844],2022-07-29
[93.88999938964844],[90.87523],[94.41999816894531],2022-08-01
[94.41999816894531],[89.97119],[90.66000366210938],2022-08-02
[90.66000366210938],[87.49938],[88.54000091552734],2022-08-03
[88.54000091552734],[85.80686],[89.01000213623047],2022-08-04
[89.01000213623047],[85.9007],[90.76000213623048],2022-08-05
[90.76000213623048],[86.046165],[90.5],2022-08-08
[90.5],[85.907295],[91.93000030517578],2022-08-09
[91.93000030517578],[87.14124],[94.33999633789062],2022-08-10
[94.33999633789062],[88.20365],[92.08999633789062],2022-08-11
[92.08999633789062],[87.35627],[89.41000366210938],2022-08-12
[89.41000366210938],[84.959015],[86.52999877929688],2022-08-15
[86.52999877929688],[83.16868],[88.11000061035156],2022-08-16
[88.11000061035156],[84.33011],[90.5],2022-08-17
[90.5],[85.45534],[90.7699966430664],2022-08-18
[90.7699966430664],[84.94143],[90.2300033569336],2022-08-19
[90.2300033569336],[85.57289],[93.73999786376952],2022-08-22
[93.73999786376952],[87.61678],[94.88999938964844],2022-08-23
[94.88999938964844],[88.30374],[92.5199966430664],2022-08-24
[92.5199966430664],[87.26877],[93.05999755859376],2022-08-25
[93.05999755859376],[88.669945],[97.01000213623048],2022-08-26
[97.01000213623048],[89.819916],[91.63999938964844],2022-08-29
[91.63999938964844],[87.761475],[89.55000305175781],2022-08-30
[89.55000305175781],[84.9202],[86.61000061035156],2022-08-31
[86.61000061035156],[83.731],[86.87000274658203],2022-09-01
[86.87000274658203],[83.94009],[86.87999725341797],2022-09-02
[86.87999725341797],[81.80942],[81.94000244140625],2022-09-06
[81.94000244140625],[79.200096],[83.54000091552734],2022-09-07
[83.54000091552734],[80.16836],[86.79000091552734],2022-09-08
[86.79000091552734],[81.62615],[87.77999877929688],2022-09-09
[87.77999877929688],[81.88515],[87.30999755859375],2022-09-12
[87.30999755859375],[82.24308],[88.4800033569336],2022-09-13
[88.4800033569336],[82.33752],[85.0999984741211],2022-09-14
[85.0999984741211],[80.71743],[85.11000061035156],2022-09-15
[85.11000061035156],[80.6621],[85.7300033569336],2022-09-16
[85.7300033569336],[80.662674],[84.44999694824219],2022-09-19
[84.44999694824219],[79.564384],[82.94000244140625],2022-09-20
[82.94000244140625],[78.86305],[83.48999786376953],2022-09-21
[83.48999786376953],[78.37704],[78.73999786376953],2022-09-22
[78.73999786376953],[75.13785],[76.70999908447266],2022-09-23
