Current,Forcast,Real,Dates
[76.33999633789062],[75.467125],[76.16000366210938],2023-02-17
[76.16000366210938],[76.459755],[73.94999694824219],2023-02-21
[73.94999694824219],[75.526535],[75.38999938964844],2023-02-22
[75.38999938964844],[74.48803],[76.31999969482422],2023-02-23
[76.31999969482422],[76.39753],[75.68000030517578],2023-02-24 00:00:00
[75.68000030517578],[77.71903],[77.05000305175781],2023-02-27 00:00:00
[77.05000305175781],[74.528404],[77.69000244140625],2023-02-28 00:00:00
[77.69000244140625],[76.953766],[77.91000366210938],2023-03-01 00:00:00
[77.91000366210938],[81.86348],[77.91000366210938],2023-03-02 00:00:00
[77.91000366210938],[64.92662],[77.91000366210938],2023-03-03 00:00:00
