Current,Forcast,Real,Dates
[76.70999908447266],[81.27937],[78.5],2022-09-26
[78.5],[79.78951],[82.1500015258789],2022-09-27
[82.1500015258789],[79.21797],[81.2300033569336],2022-09-28
[81.2300033569336],[79.42982],[79.48999786376953],2022-09-29
[79.48999786376953],[79.662384],[83.62999725341797],2022-09-30
[83.62999725341797],[80.21102],[86.5199966430664],2022-10-03
[86.5199966430664],[81.300644],[87.76000213623047],2022-10-04
[87.76000213623047],[82.8015],[88.44999694824219],2022-10-05
[88.44999694824219],[84.349304],[92.63999938964844],2022-10-06
[92.63999938964844],[86.10497],[91.12999725341795],2022-10-07
[91.12999725341795],[87.82841],[89.3499984741211],2022-10-10
[89.3499984741211],[88.69028],[87.2699966430664],2022-10-11
[87.2699966430664],[88.55433],[89.11000061035156],2022-10-12
[89.11000061035156],[88.14465],[85.61000061035156],2022-10-13
[85.61000061035156],[87.60175],[85.45999908447266],2022-10-14
[85.45999908447266],[86.76134],[82.81999969482422],2022-10-17
[82.81999969482422],[85.73716],[85.55000305175781],2022-10-18
[85.55000305175781],[84.981804],[85.9800033569336],2022-10-19
[85.9800033569336],[84.79015],[85.05000305175781],2022-10-20
[85.05000305175781],[84.653366],[84.58000183105469],2022-10-21
[84.58000183105469],[84.51681],[85.31999969482422],2022-10-24
[85.31999969482422],[84.444305],[87.91000366210938],2022-10-25
[87.91000366210938],[84.71489],[89.08000183105469],2022-10-26
[89.08000183105469],[85.51085],[87.9000015258789],2022-10-27
[87.9000015258789],[86.218315],[86.52999877929688],2022-10-28
[86.52999877929688],[86.53264],[88.37000274658203],2022-10-31
[88.37000274658203],[86.62566],[90.0],2022-11-01
[90.0],[87.03232],[88.16999816894531],2022-11-02
[88.16999816894531],[87.34242],[92.61000061035156],2022-11-03
[92.61000061035156],[87.89055],[91.79000091552734],2022-11-04
[91.79000091552734],[88.63247],[88.91000366210938],2022-11-07
[88.91000366210938],[89.040405],[85.83000183105469],2022-11-08
[85.83000183105469],[88.544136],[86.47000122070312],2022-11-09
[86.47000122070312],[87.62149],[88.95999908447266],2022-11-10
[88.95999908447266],[87.093315],[85.87000274658203],2022-11-11
[85.87000274658203],[86.79495],[86.91999816894531],2022-11-14
[86.91999816894531],[86.378235],[85.58999633789062],2022-11-15
[85.58999633789062],[86.02954],[81.63999938964844],2022-11-16
[81.63999938964844],[85.17146],[80.08000183105469],2022-11-17
[80.08000183105469],[83.818825],[79.7300033569336],2022-11-18
[79.7300033569336],[82.3636],[80.94999694824219],2022-11-21
[80.94999694824219],[81.32796],[77.94000244140625],2022-11-22
[77.94000244140625],[80.44778],[76.27999877929688],2022-11-23
[76.27999877929688],[79.264015],[77.23999786376953],2022-11-25
[77.23999786376953],[78.15548],[78.19999694824219],2022-11-28
[78.19999694824219],[77.48191],[80.55000305175781],2022-11-29
[80.55000305175781],[77.63827],[81.22000122070312],2022-11-30
[81.22000122070312],[78.29044],[79.9800033569336],2022-12-01
[79.9800033569336],[78.9337],[76.93000030517578],2022-12-02
[76.93000030517578],[78.91319],[74.25],2022-12-05
[74.25],[78.07528],[72.01000213623047],2022-12-06
[72.01000213623047],[76.59927],[71.45999908447266],2022-12-07
[71.45999908447266],[74.93683],[71.0199966430664],2022-12-08
[71.0199966430664],[73.47474],[73.16999816894531],2022-12-09
[73.16999816894531],[72.638084],[75.38999938964844],2022-12-12
[75.38999938964844],[72.6188],[77.27999877929688],2022-12-13
[77.27999877929688],[73.32537],[76.11000061035156],2022-12-14
[76.11000061035156],[74.226715],[74.29000091552734],2022-12-15
[74.29000091552734],[74.67569],[75.19000244140625],2022-12-16
[75.19000244140625],[74.73941],[76.08999633789062],2022-12-19
[76.08999633789062],[74.86265],[78.29000091552734],2022-12-20
[78.29000091552734],[75.26496],[77.48999786376953],2022-12-21
[77.48999786376953],[75.85826],[79.55999755859375],2022-12-22
[79.55999755859375],[76.59993],[79.52999877929688],2022-12-23
[79.52999877929688],[77.40728],[78.95999908447266],2022-12-27
[78.95999908447266],[77.98992],[78.4000015258789],2022-12-28
[78.4000015258789],[78.18054],[80.26000213623047],2022-12-29
[80.26000213623047],[78.38191],[76.93000030517578],2022-12-30
[76.93000030517578],[78.37725],[72.83999633789062],2023-01-03
[72.83999633789062],[77.52076],[73.66999816894531],2023-01-04
[73.66999816894531],[76.21449],[73.7699966430664],2023-01-05
[73.7699966430664],[75.11388],[74.62999725341797],2023-01-06
[74.62999725341797],[74.388115],[75.12000274658203],2023-01-09
[75.12000274658203],[74.16431],[77.41000366210938],2023-01-10
[77.41000366210938],[74.41969],[78.38999938964844],2023-01-11
[78.38999938964844],[75.20431],[79.86000061035156],2023-01-12
[79.86000061035156],[76.23232],[78.8499984741211],2023-01-13
[78.8499984741211],[77.17671],[80.18000030517578],2023-01-16
[80.18000030517578],[78.012146],[79.4800033569336],2023-01-17
[79.4800033569336],[78.62881],[80.33000183105469],2023-01-18
[80.33000183105469],[78.92907],[81.30999755859375],2023-01-19
[81.30999755859375],[79.31308],[81.62000274658203],2023-01-20
[81.62000274658203],[79.81456],[80.12999725341797],2023-01-23
[80.12999725341797],[80.07045],[80.1500015258789],2023-01-24
[80.1500015258789],[80.037384],[81.01000213623047],2023-01-25
[81.01000213623047],[80.02758],[79.68000030517578],2023-01-26
[79.68000030517578],[79.96782],[77.9000015258789],2023-01-27
[77.9000015258789],[79.586685],[78.87000274658203],2023-01-30
[78.87000274658203],[79.0567],[76.41000366210938],2023-01-31
[76.41000366210938],[78.44253],[75.87999725341797],2023-02-01
[75.87999725341797],[77.64625],[73.38999938964844],2023-02-02
[73.38999938964844],[76.59942],[74.11000061035156],2023-02-03
[74.11000061035156],[75.49],[77.13999938964844],2023-02-06
[77.13999938964844],[75.06249],[78.47000122070312],2023-02-07
[78.47000122070312],[75.44766],[78.05999755859375],2023-02-08
[78.05999755859375],[76.1064],[79.72000122070312],2023-02-09
[79.72000122070312],[76.80311],[80.13999938964844],2023-02-10
[80.13999938964844],[77.625],[79.05999755859375],2023-02-13
[79.05999755859375],[78.08582],[78.2699966430664],2023-02-14
[79.05999755859375],[78.18928],[78.2699966430664],2023-02-15
