Current,Forcast,Real,Dates
[76.70999908447266],[83.24966],[78.5],2022-09-26
[78.5],[81.90621],[82.1500015258789],2022-09-27
[82.1500015258789],[82.56111],[81.2300033569336],2022-09-28
[81.2300033569336],[83.61855],[79.48999786376953],2022-09-29
[79.48999786376953],[83.73066],[83.62999725341797],2022-09-30
[83.62999725341797],[84.35247],[86.5199966430664],2022-10-03
[86.5199966430664],[85.9337],[87.76000213623047],2022-10-04
[87.76000213623047],[87.85603],[88.44999694824219],2022-10-05
[88.44999694824219],[89.46328],[92.63999938964844],2022-10-06
[92.63999938964844],[91.6063],[91.12999725341795],2022-10-07
[91.12999725341795],[92.96281],[89.3499984741211],2022-10-10
[89.3499984741211],[93.018654],[87.2699966430664],2022-10-11
[87.2699966430664],[92.008224],[89.11000061035156],2022-10-12
[89.11000061035156],[91.581924],[85.61000061035156],2022-10-13
[85.61000061035156],[90.80398],[85.45999908447266],2022-10-14
[85.45999908447266],[90.06646],[82.81999969482422],2022-10-17
[82.81999969482422],[88.82628],[85.55000305175781],2022-10-18
[85.55000305175781],[88.47288],[85.9800033569336],2022-10-19
[85.9800033569336],[88.79135],[85.05000305175781],2022-10-20
[85.05000305175781],[88.93895],[84.58000183105469],2022-10-21
[84.58000183105469],[88.66848],[85.31999969482422],2022-10-24
[85.31999969482422],[88.44409],[87.91000366210938],2022-10-25
[87.91000366210938],[89.09763],[89.08000183105469],2022-10-26
[89.08000183105469],[90.32839],[87.9000015258789],2022-10-27
[87.9000015258789],[91.01669],[86.52999877929688],2022-10-28
[86.52999877929688],[90.73501],[88.37000274658203],2022-10-31
[88.37000274658203],[90.655945],[90.0],2022-11-01
[90.0],[91.33548],[88.16999816894531],2022-11-02
[88.16999816894531],[91.69351],[92.61000061035156],2022-11-03
[92.61000061035156],[93.01197],[91.79000091552734],2022-11-04
[91.79000091552734],[94.14761],[88.91000366210938],2022-11-07
[88.91000366210938],[93.90212],[85.83000183105469],2022-11-08
[85.83000183105469],[92.21148],[86.47000122070312],2022-11-09
[86.47000122070312],[90.71245],[88.95999908447266],2022-11-10
