Current,Forcast,Real
[76.93000030517578],[70.660576],[72.83999633789062]
[72.83999633789062],[70.85348],[73.66999816894531]
[73.66999816894531],[70.82124],[73.7699966430664]
[73.7699966430664],[70.65204],[74.62999725341797]
[74.62999725341797],[70.60263],[75.12000274658203]
[75.12000274658203],[70.550934],[77.41000366210938]
[77.41000366210938],[70.45557],[78.38999938964844]
[78.38999938964844],[70.305405],[79.86000061035156]
[79.86000061035156],[70.10335],[78.8499984741211]
[78.8499984741211],[70.05768],[80.18000030517578]
[80.18000030517578],[70.08393],[79.4800033569336]
[79.4800033569336],[70.06223],[80.33000183105469]
[80.33000183105469],[69.94963],[81.30999755859375]
[81.30999755859375],[69.747154],[81.62000274658203]
[81.62000274658203],[69.66569],[80.12999725341797]
[80.12999725341797],[69.53917],[80.4800033569336]
[80.4800033569336],[69.366264],[81.01000213623047]
[81.01000213623047],[69.08679],[79.68000030517578]
[79.68000030517578],[68.73024],[80.0999984741211]
