,0
0,31.01
1,31.14
2,33.04
3,33.32
4,33.56
5,33.51
6,33.9
7,34.42
8,34.97
9,34.71
10,34.15
11,34.49
12,34.57
13,34.46
14,34.93
15,34.25
16,34.78
17,34.97
18,34.62
19,34.86
20,34.93
21,35.25
22,34.86
23,34.21
24,34.21
25,34.29
26,34.9
27,34.49
28,35.48
29,35.76
30,35.64
31,35.22
32,35.34
33,35.3
34,35.51
35,35.49
36,35.06
37,35.06
38,35.13
39,35.26
40,35.56
41,35.32
42,35.28
43,35.01
44,35.37
45,34.95
46,35.78
47,35.54
48,35.51
49,35.91
50,35.71
51,35.69
52,35.55
53,35.5
54,34.59
55,34.29
56,34.28
57,34.48
58,34.74
59,34.62
60,34.59
61,34.44
62,34.09
63,34.55
64,34.49
65,34.66
66,34.77
67,34.73
68,33.98
69,34.19
70,33.9
71,33.87
72,33.72
73,33.46
74,33.51
75,33.11
76,33.02
77,33.09
78,32.99
79,33.01
80,33.36
81,33.15
82,33.01
83,33.56
84,33.33
85,33.21
86,33.35
87,33.27
88,32.33
89,32.25
90,32.28
91,32.8
92,32.92
93,33.46
94,32.85
95,33.18
96,33.41
97,33.09
98,32.87
99,32.39
100,32.09
101,32.42
102,32.23
103,32.07
104,32.32
105,32.19
106,32.34
107,32.92
108,32.83
109,33.63
110,32.93
111,32.87
112,32.64
113,32.19
114,33.62
115,33.46
116,33.19
117,33.39
118,33.39
119,34.04
120,34.4
121,34.15
122,34.26
123,34.2
124,34.21
125,34.34
126,34.24
127,33.91
128,33.91
129,33.44
130,33.75
131,33.5
132,33.93
133,33.75
134,34.0
135,34.0
136,34.19
137,34.15
138,34.08
139,33.99
140,34.12
141,33.65
142,34.12
143,34.09
144,34.1
145,33.08
146,33.48
147,33.31
148,33.4
149,33.23
150,33.28
151,32.97
152,32.8
153,32.8
154,32.79
155,32.81
156,32.56
157,32.64
158,33.0
159,33.46
160,33.28
161,32.94
162,32.71
163,32.95
164,33.0
165,33.09
166,32.81
167,32.19
168,32.48
169,32.62
170,32.99
171,33.12
172,33.39
173,34.29
174,33.94
175,33.73
176,33.69
177,33.72
178,33.96
179,33.49
180,33.89
181,34.51
182,34.64
183,34.69
184,34.52
185,34.59
186,34.99
187,35.25
188,35.19
189,34.86
190,34.9
191,35.12
192,35.36
193,35.5
194,35.51
195,35.26
196,35.34
197,35.14
198,35.14
199,34.99
200,36.81
201,36.74
202,37.21
203,37.53
204,37.46
205,37.39
206,37.29
207,37.15
208,37.39
209,37.09
210,37.09
211,37.11
212,36.9
213,37.04
214,38.76
215,38.36
216,38.51
217,38.59
218,38.72
219,38.31
220,37.77
221,38.09
222,37.55
223,37.75
224,37.54
225,37.7
226,37.59
227,36.94
228,37.32
229,37.64
230,37.1
231,37.36
232,37.23
233,37.41
234,37.43
235,37.49
236,37.49
237,37.5
238,37.52
239,37.55
240,37.45
241,38.71
242,38.81
243,38.66
244,38.54
245,38.65
246,38.65
247,38.41
248,38.22
249,38.19
250,37.99
251,37.99
252,37.99
253,37.9
254,37.83
255,37.71
256,38.34
257,38.65
258,38.49
259,38.18
260,38.11
261,37.97
262,37.94
263,37.94
264,37.99
265,37.99
266,38.0
267,38.18
268,38.21
269,38.72
270,38.57
271,38.83
272,38.76
273,38.7
274,38.67
275,38.8
276,38.59
277,38.69
278,38.38
279,38.72
280,38.69
281,38.82
282,38.82
283,38.22
284,38.26
285,37.79
286,37.86
287,38.19
288,38.35
289,38.57
290,38.6
291,38.31
292,38.37
293,38.41
294,38.51
295,38.38
296,39.04
297,38.62
298,38.51
299,38.61
300,38.75
301,38.86
302,39.09
303,39.03
304,38.99
305,38.99
306,39.09
307,39.09
308,39.19
309,39.35
310,39.75
311,40.0
312,40.26
313,40.23
314,40.51
315,40.79
316,40.66
317,40.34
318,40.6
