Current,Forcast,Real
[86.79000091552734],[83.15192],[87.77999877929688]
[87.77999877929688],[83.64011],[87.30999755859375]
[87.30999755859375],[84.46525],[88.4800033569336]
[88.4800033569336],[85.144554],[85.0999984741211]
[85.0999984741211],[85.35738],[85.11000061035156]
[85.11000061035156],[85.02327],[85.7300033569336]
[85.7300033569336],[84.59497],[84.44999694824219]
[84.44999694824219],[84.29682],[82.94000244140625]
[82.94000244140625],[84.1004],[83.48999786376953]
[83.48999786376953],[84.022484],[78.73999786376953]
[78.73999786376953],[83.67682],[76.70999908447266]
[76.70999908447266],[82.934586],[78.5]
[78.5],[82.17901],[82.1500015258789]
[82.1500015258789],[81.97553],[81.2300033569336]
[81.2300033569336],[82.50631],[79.48999786376953]
[79.48999786376953],[83.17399],[83.62999725341797]
[83.62999725341797],[83.77767],[86.5199966430664]
[86.5199966430664],[84.539955],[87.76000213623047]
[87.76000213623047],[85.35364],[88.44999694824219]
[88.44999694824219],[86.13175],[92.63999938964844]
[92.63999938964844],[86.81942],[91.12999725341795]
[91.12999725341795],[87.64593],[89.3499984741211]
[89.3499984741211],[87.96829],[87.2699966430664]
[87.2699966430664],[87.48754],[89.11000061035156]
[89.11000061035156],[86.68017],[85.61000061035156]
[85.61000061035156],[86.04378],[85.45999908447266]
[85.45999908447266],[85.59977],[82.81999969482422]
[82.81999969482422],[85.30777],[85.55000305175781]
[85.55000305175781],[85.02058],[85.9800033569336]
[85.9800033569336],[84.80269],[85.05000305175781]
[85.05000305175781],[84.506744],[84.58000183105469]
[84.58000183105469],[84.26471],[85.31999969482422]
[85.31999969482422],[84.17778],[87.91000366210938]
[87.91000366210938],[84.284874],[89.08000183105469]
[89.08000183105469],[84.68922],[87.9000015258789]
[87.9000015258789],[84.99578],[86.52999877929688]
[86.52999877929688],[85.02134],[88.37000274658203]
[88.37000274658203],[84.84419],[90.0]
[90.0],[84.77892],[88.16999816894531]
[88.16999816894531],[84.79716],[92.61000061035156]
[92.61000061035156],[84.936035],[91.79000091552734]
[91.79000091552734],[85.35184],[88.91000366210938]
[88.91000366210938],[85.58278],[85.83000183105469]
[85.83000183105469],[84.96643],[86.47000122070312]
[86.47000122070312],[83.81426],[88.95999908447266]
[88.95999908447266],[83.06274],[85.87000274658203]
[85.87000274658203],[82.91253],[86.91999816894531]
[86.91999816894531],[82.954414],[85.58999633789062]
[85.58999633789062],[82.86532],[81.63999938964844]
[81.63999938964844],[82.3381],[80.08000183105469]
[80.08000183105469],[81.281],[79.7300033569336]
[79.7300033569336],[79.81406],[80.94999694824219]
[80.94999694824219],[79.14351],[77.94000244140625]
[77.94000244140625],[78.99574],[76.27999877929688]
[76.27999877929688],[78.85748],[77.23999786376953]
[77.23999786376953],[78.35595],[78.19999694824219]
[78.19999694824219],[78.05372],[80.55000305175781]
[80.55000305175781],[78.333046],[81.22000122070312]
[81.22000122070312],[78.9927],[79.9800033569336]
[79.9800033569336],[79.572784],[76.93000030517578]
[76.93000030517578],[79.694824],[74.25]
[74.25],[78.96567],[72.01000213623047]
[72.01000213623047],[77.61324],[71.45999908447266]
[71.45999908447266],[76.33355],[71.0199966430664]
[71.0199966430664],[75.49468],[73.16999816894531]
[73.16999816894531],[75.3419],[75.38999938964844]
[75.38999938964844],[75.91295],[77.27999877929688]
[77.27999877929688],[76.80853],[76.11000061035156]
[76.11000061035156],[77.523926],[74.29000091552734]
[74.29000091552734],[77.65459],[75.19000244140625]
[75.19000244140625],[77.38208],[76.08999633789062]
[76.08999633789062],[77.04978],[78.29000091552734]
[78.29000091552734],[77.02572],[77.48999786376953]
[77.48999786376953],[77.35499],[79.55999755859375]
[79.55999755859375],[77.73389],[79.52999877929688]
[79.52999877929688],[78.03594],[78.95999908447266]
[78.95999908447266],[77.97936],[78.4000015258789]
[78.4000015258789],[77.452484],[80.26000213623047]
[80.26000213623047],[76.933136],[76.93000030517578]
[76.93000030517578],[77.29859],[72.83999633789062]
[72.83999633789062],[76.85195],[73.66999816894531]
[73.66999816894531],[75.30488],[73.7699966430664]
[73.7699966430664],[73.66768],[74.62999725341797]
[74.62999725341797],[72.59796],[75.12000274658203]
[75.12000274658203],[72.280624],[77.41000366210938]
[77.41000366210938],[72.42031],[78.38999938964844]
[78.38999938964844],[72.796646],[79.86000061035156]
[79.86000061035156],[73.084854],[78.8499984741211]
[78.8499984741211],[72.99793],[80.18000030517578]
[80.18000030517578],[72.68277],[79.4800033569336]
[79.4800033569336],[72.38625],[80.33000183105469]
[80.33000183105469],[71.97034],[81.30999755859375]
[81.30999755859375],[71.55554],[81.62000274658203]
[81.62000274658203],[70.99341],[80.12999725341797]
[80.12999725341797],[70.29997],[80.4800033569336]
[80.4800033569336],[69.520515],[81.01000213623047]
[81.01000213623047],[68.677284],[79.68000030517578]
[79.68000030517578],[67.858604],[80.0999984741211]
[80.0999984741211],[67.156906],[77.98999786376953]
[80.0999984741211],[65.93914],[77.98999786376953]
