Current,Forcast,Real
[111.76000213623048],[108.35048],[109.77999877929688]
[109.77999877929688],[108.08984],[105.76000213623048]
[105.76000213623048],[107.69346],[108.43000030517578]
[108.43000030517578],[107.12473],[99.5]
[99.5],[106.397316],[98.52999877929688]
[98.52999877929688],[105.42044],[102.7300033569336]
[102.7300033569336],[104.43923],[104.79000091552734]
[104.79000091552734],[103.65343],[104.08999633789062]
[104.08999633789062],[103.16613],[95.83999633789062]
[95.83999633789062],[102.5715],[96.3000030517578]
[96.3000030517578],[101.81171],[95.77999877929688]
[95.77999877929688],[100.81725],[97.58999633789062]
[97.58999633789062],[99.97973],[102.5999984741211]
[102.5999984741211],[99.683464],[104.22000122070312]
[104.22000122070312],[99.61349],[102.26000213623048]
[102.26000213623048],[99.567795],[96.3499984741211]
[96.3499984741211],[99.10596],[94.6999969482422]
[94.6999969482422],[98.31669],[96.6999969482422]
[96.6999969482422],[97.655045],[94.9800033569336]
[94.9800033569336],[96.93512],[97.26000213623048]
[97.26000213623048],[96.38513],[96.41999816894531]
[96.41999816894531],[95.83521],[98.62000274658205]
[98.62000274658205],[95.37524],[93.88999938964844]
[93.88999938964844],[95.016846],[94.41999816894531]
[94.41999816894531],[94.38188],[90.66000366210938]
[90.66000366210938],[93.71609],[88.54000091552734]
[88.54000091552734],[92.82371],[89.01000213623047]
[89.01000213623047],[91.824295],[90.76000213623048]
[90.76000213623048],[91.18599],[90.5]
[90.5],[90.55363],[91.93000030517578]
[91.93000030517578],[90.13108],[94.33999633789062]
[94.33999633789062],[89.80407],[92.08999633789062]
[92.08999633789062],[89.64647],[89.41000366210938]
[89.41000366210938],[89.58555],[86.52999877929688]
[86.52999877929688],[89.07394],[88.11000061035156]
[88.11000061035156],[88.63114],[90.5]
[90.5],[88.35594],[90.7699966430664]
[90.7699966430664],[88.284775],[90.2300033569336]
[90.2300033569336],[88.2235],[93.73999786376952]
[93.73999786376952],[88.038795],[94.88999938964844]
[94.88999938964844],[88.13042],[92.5199966430664]
[92.5199966430664],[88.175476],[93.05999755859376]
[93.05999755859376],[88.104454],[97.01000213623048]
[97.01000213623048],[88.30103],[91.63999938964844]
[91.63999938964844],[88.27866],[89.55000305175781]
[89.55000305175781],[88.093124],[86.61000061035156]
[86.61000061035156],[87.549835],[86.87000274658203]
[86.87000274658203],[87.01593],[86.87999725341797]
[86.87999725341797],[86.63695],[81.94000244140625]
[81.94000244140625],[86.06596],[83.54000091552734]
[83.54000091552734],[85.481026],[86.79000091552734]
[86.79000091552734],[85.06637],[87.77999877929688]
[87.77999877929688],[85.24077],[87.30999755859375]
[87.30999755859375],[85.29389],[88.4800033569336]
[88.4800033569336],[85.497284],[85.0999984741211]
[85.0999984741211],[85.63228],[85.11000061035156]
[85.11000061035156],[85.726524],[85.7300033569336]
[85.7300033569336],[85.99588],[84.44999694824219]
[84.44999694824219],[85.91646],[82.94000244140625]
[82.94000244140625],[85.81122],[83.48999786376953]
[83.48999786376953],[85.60369],[78.73999786376953]
[78.73999786376953],[85.2879],[76.70999908447266]
[76.70999908447266],[85.01446],[78.5]
[78.5],[84.53086],[82.1500015258789]
[82.1500015258789],[84.354126],[81.2300033569336]
[81.2300033569336],[84.35995],[79.48999786376953]
[79.48999786376953],[84.4374],[83.62999725341797]
[83.62999725341797],[84.76423],[86.5199966430664]
[86.5199966430664],[85.08739],[87.76000213623047]
[87.76000213623047],[85.58711],[88.44999694824219]
[88.44999694824219],[86.10263],[92.63999938964844]
[92.63999938964844],[86.57246],[91.12999725341795]
[91.12999725341795],[87.36839],[89.3499984741211]
[89.3499984741211],[87.73276],[87.2699966430664]
[87.2699966430664],[87.89827],[89.11000061035156]
