Current,Forcast,Real
[107.62000274658205],[108.88365],[109.56999969482422]
[109.56999969482422],[108.11772],[111.76000213623048]
[111.76000213623048],[107.95631],[109.77999877929688]
[109.77999877929688],[108.1783],[105.76000213623048]
[105.76000213623048],[108.04285],[108.43000030517578]
[108.43000030517578],[107.38181],[99.5]
[99.5],[106.286255],[98.52999877929688]
[98.52999877929688],[104.7789],[102.7300033569336]
[102.7300033569336],[103.28066],[104.79000091552734]
[104.79000091552734],[102.35287],[104.08999633789062]
[104.08999633789062],[102.021095],[95.83999633789062]
[95.83999633789062],[101.51283],[96.3000030517578]
[96.3000030517578],[100.53783],[95.77999877929688]
[95.77999877929688],[99.08262],[97.58999633789062]
[97.58999633789062],[97.94112],[102.5999984741211]
[102.5999984741211],[97.819016],[104.22000122070312]
[104.22000122070312],[98.37841],[102.26000213623048]
[102.26000213623048],[98.80349],[96.3499984741211]
[96.3499984741211],[98.40595],[94.6999969482422]
[94.6999969482422],[97.20412],[96.6999969482422]
[96.6999969482422],[95.94003],[94.9800033569336]
[94.9800033569336],[94.90031],[97.26000213623048]
[97.26000213623048],[94.23378],[96.41999816894531]
[96.41999816894531],[93.74358],[98.62000274658205]
[98.62000274658205],[93.39325],[93.88999938964844]
[93.88999938964844],[92.963425],[94.41999816894531]
[94.41999816894531],[92.235146],[90.66000366210938]
[90.66000366210938],[91.35614],[88.54000091552734]
[88.54000091552734],[90.22391],[89.01000213623047]
[89.01000213623047],[88.895615],[90.76000213623048]
[90.76000213623048],[87.81354],[90.5]
[90.5],[87.20976],[91.93000030517578]
[91.93000030517578],[87.018616],[94.33999633789062]
[94.33999633789062],[87.165215],[92.08999633789062]
[92.08999633789062],[87.59171],[89.41000366210938]
[89.41000366210938],[87.754295],[86.52999877929688]
[86.52999877929688],[87.384094],[88.11000061035156]
[88.11000061035156],[86.975845],[90.5]
[90.5],[86.99125],[90.7699966430664]
[90.7699966430664],[87.3953],[90.2300033569336]
[90.2300033569336],[87.38867],[93.73999786376952]
[93.73999786376952],[87.42393],[94.88999938964844]
[94.88999938964844],[87.82018],[92.5199966430664]
[92.5199966430664],[88.26815],[93.05999755859376]
[93.05999755859376],[88.43858],[97.01000213623048]
[97.01000213623048],[88.6041],[91.63999938964844]
[91.63999938964844],[88.67822],[89.55000305175781]
[89.55000305175781],[88.42922],[86.61000061035156]
[86.61000061035156],[87.68916],[86.87000274658203]
[86.87000274658203],[86.84673],[86.87999725341797]
[86.87999725341797],[86.01179],[81.94000244140625]
[81.94000244140625],[85.209335],[83.54000091552734]
[83.54000091552734],[84.42805],[86.79000091552734]
[86.79000091552734],[84.02883],[87.77999877929688]
[87.77999877929688],[84.20841],[87.30999755859375]
[87.30999755859375],[84.62456],[88.4800033569336]
[88.4800033569336],[85.19755],[85.0999984741211]
[85.0999984741211],[85.71472],[85.11000061035156]
[85.11000061035156],[86.08238],[85.7300033569336]
[85.7300033569336],[86.28261],[84.44999694824219]
[84.44999694824219],[86.156425],[82.94000244140625]
[82.94000244140625],[85.891365],[83.48999786376953]
[83.48999786376953],[85.58742],[78.73999786376953]
[78.73999786376953],[85.0971],[76.70999908447266]
[76.70999908447266],[84.30866],[78.5]
[78.5],[83.53231],[82.1500015258789]
[82.1500015258789],[83.250145],[81.2300033569336]
[81.2300033569336],[83.47368],[79.48999786376953]
[79.48999786376953],[83.83986],[83.62999725341797]
[83.62999725341797],[84.21322],[86.5199966430664]
[86.5199966430664],[84.81591],[87.76000213623047]
[87.76000213623047],[85.66248],[88.44999694824219]
[88.44999694824219],[86.60282],[92.63999938964844]
[92.63999938964844],[87.359505],[91.12999725341795]
[91.12999725341795],[88.23352],[89.3499984741211]
[89.3499984741211],[88.72218],[87.2699966430664]
[87.2699966430664],[88.750626],[89.11000061035156]
[89.11000061035156],[88.50929],[85.61000061035156]
[85.61000061035156],[88.25963],[85.45999908447266]
[85.45999908447266],[87.95549],[82.81999969482422]
[82.81999969482422],[87.5744],[85.55000305175781]
[85.55000305175781],[87.33402],[85.9800033569336]
[85.9800033569336],[86.9496],[85.05000305175781]
[85.05000305175781],[86.50521],[84.58000183105469]
[84.58000183105469],[86.00762],[85.31999969482422]
[85.31999969482422],[85.62259],[87.91000366210938]
[87.91000366210938],[85.53929],[89.08000183105469]
[89.08000183105469],[85.73387],[87.9000015258789]
[87.9000015258789],[85.96231],[86.52999877929688]
[86.52999877929688],[85.96383],[88.37000274658203]
[88.37000274658203],[85.859184],[90.0]
[90.0],[85.95954],[88.16999816894531]
[88.16999816894531],[86.09183],[92.61000061035156]
[92.61000061035156],[86.119965],[91.79000091552734]
[91.79000091552734],[86.29451],[88.91000366210938]
[88.91000366210938],[86.316986],[85.83000183105469]
[85.83000183105469],[85.91113],[86.47000122070312]
[86.47000122070312],[85.16372],[88.95999908447266]
[88.95999908447266],[84.63747],[85.87000274658203]
[85.87000274658203],[84.33637],[86.91999816894531]
[86.91999816894531],[83.9719],[85.58999633789062]
[85.58999633789062],[83.78101],[81.63999938964844]
[81.63999938964844],[83.53778],[80.08000183105469]
[80.08000183105469],[82.99205],[79.7300033569336]
[79.7300033569336],[81.68107],[80.94999694824219]
[80.94999694824219],[80.693985],[77.94000244140625]
[77.94000244140625],[80.12238],[76.27999877929688]
[76.27999877929688],[79.62985],[77.23999786376953]
[77.23999786376953],[78.8523],[78.19999694824219]
[78.19999694824219],[78.25148],[80.55000305175781]
[80.55000305175781],[78.381516],[81.22000122070312]
[81.22000122070312],[78.909805],[79.9800033569336]
[79.9800033569336],[79.45935],[76.93000030517578]
[76.93000030517578],[79.57679],[74.25]
[74.25],[79.10307],[72.01000213623047]
[72.01000213623047],[78.287384],[71.45999908447266]
[71.45999908447266],[77.35476],[71.0199966430664]
[71.0199966430664],[76.58105],[73.16999816894531]
[73.16999816894531],[75.990906],[75.38999938964844]
[75.38999938964844],[75.868835],[77.27999877929688]
[77.27999877929688],[76.32262],[76.11000061035156]
[76.11000061035156],[76.966225],[74.29000091552734]
[74.29000091552734],[77.488625],[75.19000244140625]
[75.19000244140625],[77.692215],[76.08999633789062]
[76.08999633789062],[77.59718],[78.29000091552734]
[78.29000091552734],[77.63121],[77.48999786376953]
[77.48999786376953],[77.78877],[79.55999755859375]
[79.55999755859375],[77.92823],[79.52999877929688]
[79.52999877929688],[77.97741],[78.95999908447266]
[78.95999908447266],[77.84921],[78.4000015258789]
[78.4000015258789],[77.536804],[80.26000213623047]
[80.26000213623047],[77.195435],[76.93000030517578]
[76.93000030517578],[76.63462],[72.83999633789062]
[72.83999633789062],[75.60407],[73.66999816894531]
[73.66999816894531],[74.33269],[73.7699966430664]
[73.7699966430664],[73.21239],[74.62999725341797]
[74.62999725341797],[72.1673],[75.12000274658203]
[75.12000274658203],[71.298164],[77.41000366210938]
