,0
0,32.22478
1,31.695583
2,31.431992
3,31.477306
4,31.968758
5,32.28291
6,32.071274
7,31.762402
8,31.97832
9,32.305496
10,32.397713
11,32.736877
12,32.97382
13,32.94779
14,32.80014
15,32.72824
16,32.792812
17,33.181686
18,33.390114
19,33.380547
20,33.44996
21,33.780212
22,33.925533
23,33.881245
24,34.076717
25,34.11755
26,33.873077
27,33.57681
28,33.410778
29,33.55458
30,33.92262
31,34.040203
32,34.000164
33,34.02697
34,34.278053
35,34.38553
36,34.354263
37,34.566578
38,34.621956
39,34.39728
40,34.10022
41,33.929165
42,33.996696
43,34.2829
44,34.318054
45,34.219784
46,34.20045
47,34.47508
48,34.611317
49,34.553394
50,34.765392
51,34.860973
52,34.68745
53,34.39308
54,34.15524
55,34.134678
56,34.34624
57,34.27489
58,34.14205
59,34.10885
60,34.33926
61,34.35635
62,34.189747
63,34.299988
64,34.269165
65,34.00069
66,33.638798
67,33.43101
68,33.443096
69,33.6857
70,33.68919
71,33.562714
72,33.544605
73,33.763226
74,33.753613
75,33.57547
76,33.659973
77,33.59035
78,33.222454
79,32.76848
80,32.520363
81,32.51447
82,32.808254
83,32.87003
84,32.76313
85,32.764614
86,33.009014
87,33.05946
88,32.935482
89,33.04973
90,32.966534
91,32.585964
92,32.16571
93,31.995096
94,32.011826
95,32.357662
96,32.49751
97,32.391697
98,32.37912
99,32.642246
100,32.68907
101,32.543148
102,32.677086
103,32.643776
104,32.311943
105,31.900452
106,31.69044
107,31.691963
108,32.094563
109,32.343113
110,32.19534
111,31.995365
112,32.176167
113,32.298515
114,32.21205
115,32.46443
116,32.596233
117,32.421562
118,32.129116
119,32.011032
120,32.06439
121,32.48485
122,32.739803
123,32.743675
124,32.82419
125,33.17303
126,33.332405
127,33.295834
128,33.51584
129,33.558678
130,33.295452
131,32.942516
132,32.734936
133,32.749805
134,33.047962
135,33.147884
136,33.06135
137,33.102684
138,33.382668
139,33.47106
140,33.417835
141,33.615414
142,33.648865
143,33.418884
144,33.116653
145,32.92254
146,32.901207
147,33.129093
148,33.14378
149,33.0201
150,33.064728
151,33.300762
152,33.29343
153,33.20588
154,33.42213
155,33.509594
156,33.325615
157,32.813633
158,32.248146
159,32.244476
160,32.533276
161,32.77382
162,32.614723
163,32.424343
164,32.48501
165,32.74318
166,32.68073
167,32.659725
168,32.862076
169,32.969917
170,32.804665
171,32.330303
172,31.79102
173,31.886156
174,32.280537
175,32.65225
176,32.57477
177,32.442802
178,32.5423
179,32.86436
180,32.864246
181,32.888577
182,33.208755
183,33.43668
184,33.409637
185,33.067364
186,32.715237
187,32.854923
188,33.18099
189,33.43846
190,33.4282
191,33.194412
192,33.180405
193,33.538555
194,33.62593
195,33.72528
196,34.042995
197,34.259907
198,34.239693
199,33.943024
200,33.634354
201,33.803444
202,34.271423
203,34.618725
204,34.712666
205,34.74601
206,34.94503
207,35.31458
208,35.428265
209,35.51574
210,35.8017
211,36.006332
212,36.01254
213,35.73052
214,35.43872
215,35.610302
216,36.065872
217,36.249954
218,36.27372
219,36.296207
220,36.442406
221,36.724747
222,36.750317
223,36.623837
224,36.728897
225,36.756077
226,36.60583
227,36.12724
228,35.99765
229,36.242542
230,36.338074
231,36.14393
232,36.08677
233,36.167374
234,36.461678
235,36.427742
236,36.4162
237,36.61672
238,36.75239
239,36.66424
240,36.3644
241,36.002205
242,36.10096
243,36.539745
244,36.696598
245,36.644897
246,36.660526
247,36.79193
248,37.081
249,37.06849
250,37.056576
251,37.242622
252,37.37665
253,37.299927
254,37.004013
255,36.581947
256,36.54765
257,36.91425
258,36.999275
259,36.846447
260,36.820835
261,36.91416
262,37.163853
263,37.102215
264,37.06567
265,37.233727
266,37.35967
267,37.27967
268,37.00086
269,36.62384
270,36.643307
271,37.031677
272,37.133793
273,36.997334
274,36.997593
275,37.113255
276,37.39118
277,37.3706
278,37.382698
279,37.553997
280,37.68267
281,37.633038
282,37.35966
283,37.027523
284,37.017105
285,37.327583
286,37.284912
287,37.07337
288,37.017147
289,37.11668
290,37.33656
291,37.345768
292,37.205383
293,37.27883
294,37.282307
295,37.152462
296,36.721317
297,36.683712
298,37.04153
299,37.121117
300,36.995396
301,36.998463
302,37.139065
303,37.446743
304,37.439594
305,37.487392
306,37.686222
307,37.83922
308,37.80547
309,37.599747
310,37.2878
311,37.357067
312,37.836178
313,37.950108
314,37.884556
315,37.966984
316,38.126236
317,38.450718
318,38.488533
319,38.573692
320,38.740242
321,38.87553
322,38.841034
323,38.666927
324,38.360497
325,38.31057
326,38.64389
327,38.582546
328,38.293777
329,38.247326
330,38.291798
331,38.47955
332,38.336372
333,38.304886
334,38.420235
335,38.502785
336,38.382183
337,38.071568
338,37.6299
339,37.53915
340,37.86706
341,37.84949
342,37.61954
343,37.590527
344,37.673405
345,37.880154
346,37.7728
347,37.76226
348,37.890438
349,37.982437
350,37.895733
351,37.5761
352,37.228016
353,37.269028
354,37.69267
355,37.75679
356,37.635803
357,37.63143
358,37.730675
359,37.976234
360,37.978657
361,37.814957
362,38.02535
363,39.13464
364,39.86301
365,39.96079
366,40.25388
367,40.582
368,40.646374
369,41.80405
370,42.97588
371,44.20386
372,45.156433
373,45.242065
374,45.87346
375,46.018948
376,46.421135
377,46.554375
378,46.994556
379,46.83326
380,47.569477
381,47.3598
382,46.549637
383,47.254066
384,47.872005
385,48.508297
386,48.96178
387,48.428055
388,48.579502
389,48.141304
390,48.295578
391,48.107735
392,48.28089
393,47.613976
394,48.240566
395,48.08488
396,47.13327
397,47.643703
398,48.194744
399,48.97752
400,48.322144
401,48.151653
402,48.865192
403,48.880802
404,49.282806
405,49.09549
406,48.896816
407,47.53584
408,46.71183
409,46.90016
410,46.157795
411,46.424816
412,46.710705
413,47.176968
414,47.20908
415,46.639534
416,46.705746
417,46.32873
418,46.352722
419,46.093388
420,46.08931
421,45.63172
422,46.085533
423,46.033398
424,45.19118
425,45.497684
426,45.50476
427,45.572723
428,45.39144
429,44.973938
430,44.470863
431,44.170914
432,43.78305
433,43.574627
434,43.145042
435,43.681133
436,43.708508
437,43.172493
438,43.60985
439,44.03653
440,44.510754
441,44.680576
442,44.2704
443,44.532944
444,44.40917
445,44.5545
446,44.43392
447,44.606945
448,44.38069
449,44.84746
450,44.84707
451,44.185703
